Page Number,Title,Description
3, JS Deep Dive: Make a Web Game using JavaScript,"Now you've learned to use Javascript to enhance interactivity to your web application, what's next? Javascript is for more than front-end development. It is also an object-oriented programming language. You can make games with JS, like Tic-Tac-Toe, Battleship, Uno and... you name it. We're going to explore the fundamentals of game design and using JS to make a simple game in Kaboom! Here's an example of Kaboom. Some experience in JS is recommended before taking this class. You can follow along with the lesson on EdStem. 
It may direct you to the discussion page instead of the lesson. You will click on the third icon, Lessons. 
There is a search bar at the top of the page and you can type the lesson name. "
3, Introduction to Social VR and World Building in Mozilla Hubs,"The confluence of cheap VR headsets, and the isolation of the pandemic has pushed the popularity of ""Social VR"", which are essentially platforms that support multi-user group VR experiences. While still in their beginnings these platforms represent alternative ways of socializing, performing, teaching, and creating art installations. In this workshop we will go over some of the different Social VR platforms and their tradeoffs, and then get hands on with one specific platform: the open-source browser based Mozilla Hubs. We will learn about their browser based world editor (Spoke) to create virtual worlds, and finally take time to together experience these worlds we create in VR."
3, Intro to Felting,"Do you feel stressed by classes and wish you could relieve said stress by stabbing something over and over and create something in the process? It sounds like felting may be for you! Come to this class to make adorable little decorations using wool, a needle, and a stabbing mat.
This beginner friendly class will provide you with everything you need!"
4, Introduction to Git,"Learn about Git: what it is, why we use it, and how we use it. You can access the EdStem lesson here. "
4, DJing in Virtual Reality with TribeXR,"DJing has a long history, begining with radio personalities in the 1930's, to the invention of scratching in the 1970s, and now even beyond physical media (MP3s). In this workshop we probe into the next frontier: DJing in Virtual Reality!"
4, Problem-Solving Through Design Thinking and Prototyping,"Do you have a problem in your life that you think could be solved with some low-fidelity prototyping? Want some feedback from non-partial parties? Come join us for a quick intro to design thinking, including ideating, prototyping, and feedback loops and walk away with a great solution. 
This class does not require any prior knowledge or making experience. Please come prepared with a problem that can be solved with a physical product or system. It could be personal, professional, or academic. "
4, Screen Printing,"During this one-day event, you’ll get hands-on screenprinting one of our lovely Co-Lab chic designs onto an object of your choice! Bring a t-shirt, a canvas bag, or just a big piece of paper and you’ll go through the steps of applying ink and heat treating it. Basically anything that’s fabric and can fold flat will work. We’ll have backup tote bags on hand!
This class can get messy, so bring some clothes you don’t mind getting a bit dirty (the ink does wash out if you don’t heat treat it).
To ensure everyone gets the most out of the workshop, we can only have 5 people join us at a time.  The workshop will be divided into 4 time slots of 30 minutes. You will receive an email a few days before the event assigning you a time slot."
4, Make Your Own Candles,"Candles... they provide light, sometimes they smell good too. Whether you like the aesthetic, or are trying to go back to simpler times, learn the joys of casting, by creating your very own candles! Keep in mind, students cannot light candles in their dorms, but they'll make a lovely gift for friends or family (or keep them for that future home of yours!)"
5, Build a Computer,"This workshop will explore all the parts that go into a standard computer and how to assemble them together to create a functioning device. We will be assembling a demo build as we progress through the workshop. We will go over the various components and explain how to select each part and the role that it plays in computer. Come to this workshop to find out what pieces to buy and why, and how to put it all together to build your own PC.
 "
5, Create a Website: Structure (Intro to HTML),"The web connects us like never before. It is thrilling to think that somewhere on the other side of the planet someone could be looking at the exact same website you are browsing, maybe at this exact minute even! We are a social species, and we, as a group, enjoy sharing ideas, information and more. We do so continuously and with an efficiency never matched before thanks to the web. In some regards, that is why you want to take this class, because you would like to create a website for the first time ever (or in forever), and you know it all starts with the structure. You can't put up drywall or a roof on a house without building the skeletal frame first. In this class, you will learn the basics of HTML, the content language of the web. We will explore HTML usage, its syntax and best practices when it comes to HTML file setups. We will also look into key features of HTML such as relationships between elements, the box model and specificities (classes, ids, attributes) which will be extremely important as we continue our journey. Finally we will put all that into practice by creating a web page using Codepen.io"
5, Intro to Raspberry Pi,"Interested in learning about Raspberry Pi and create some cool circuits and have some hands on experience? All skill levels are welcomed! Come join us in this 2-hour-workshop that will teach you the basics of Pi as well as creating a nice little project that you can share with friends. We'll provide all the supplies(except your computer, so please bring one). Grab a pal and your creative self!"
5, Backing up and Sharing Code: Git,"Have you ever tried to use Dropbox for sharing code with collaborators on a project, but accidentally deleted someone else’s work? Ever wished you could undo that “improvement” you made to your program four days ago that you now realize breaks your code? Whether you’re working with others, or are coding on your own, using a version control system can make development a much more sane and enjoyable process, while facilitating team development and code sharing. Armed with some essential Git commands that you’ll learn in this course, you’ll worry less and code more. We’ll focus on basic usage of OIT’s GitLab repository management system, but the techniques will be applicable to GitHub or other git-based version control systems. You don’t need to be an expert, but to get the most out of this course you should have some small level of familiarity with using a terminal to enter command-line instructions on Linux, Mac or Windows."
5, Intro to Information Security Threats,"In this session, we will explore the relationship between vulnerabilities, threats, and exploits. We will learn how attacks against systems occur, and how Security teams can defend against these threats. We will also learn to read vulnerability reports to assess risk to potentially vulnerable systems. We will then use this knowledge to examine the growing risk of running Internet of Things and common applications on the internet, and how to better secure these applications."
6, Make a Sticker with the Cricut,"In this class, you will learn how to design and create a sticker using Cricut Design Space and Cricut cutting machine. You can attend a synchronous instance or learn on your own on EdStem.
It may direct you to the discussion page instead of the lesson. You will click on the third icon, Lessons. 
There is a search bar at the top of the page and you can type the lesson name. "
6, Make Papel Picado (Cut Paper) with the Laser Cutter,"Papel Picado is a traditional Mexican craft that is displayed for important events and celebrations. We wanted to help you decorate for your events and celebrations, but with a tech twist. Come learn how to design a pattern and cut paper on the laser cutter. "
6, Wordle with Python: A Closer Look,"In this lesson, you will learn how to make the web game Wordle using Python. A working knowledge of Python is necessary to complete this activity. You can learn more about Python here. You can access the EdStem lesson here. "
6, Basic Milling and Drilling,The system found in the CoLab Studio is a combination Mill/Drill. This product is a Swiss Army Knife of sorts that gives the user the functinality of both machines. This short tutorial will show you the basics of drilling and milling.
6, Basic 3D Printing,"Want to start using our machines to 3D print but not sure where to start? This tutorial show you how to set up a 3D print to send to our 3D printers. To access 3D printer OS, you can go here. "
7, Basic Laser Cutting,You've seen laser cutters in our studios or maybe purchased laser cut items on Etsy and you're curious about how these machines work. This tutorial will walk you through the basics of laser cutting. 
7, Introduction to Data Science,"Data science is a rapidly growing field that involves the use of scientific methods, techniques, and systems to extract knowledge and insights from data. It encompasses a wide range of techniques and tools from statistics, computer science, and other related fields to collect, analyze, and interpret large and complex data sets.
This module is designed for learners with little to no prior experience in data science. If you're ready to learn about the exciting field of data science, let's get started!"
7, R Essentials for Data Science,"R is a powerful programming language for data analysis and visualization, and RStudio is an integrated development environment (IDE) that makes working with R even easier. In this module, you will learn how to install both R and RStudio on your computer, as well as how to navigate the RStudio interface.
This introductory module is designed for learners who are new to R and RStudio, and have little to no prior experience with programming. You can anticipate interactive, hands-on activities and practices to ensure that you have a good grasp of the concepts covered. If you're ready to start your journey to become proficient in R, let's get started!"
7, Working with your Data in R,"The ""Tidyverse"" in R includes some of the most popular and widely used packages for data manipulation, exploration, and visualization, such as dplyr, ggplot2, tidyr, and readr. These packages are designed to work together seamlessly, and share a common philosophy of ""tidy"" data, which emphasizes a consistent and easy-to-use data structure. In this module, you will learn to use R with the powerful Tidyverse package to explore and prepare your data for analysis.
This introductory module is designed for learners who are new to data analysis with R, and have little to no prior experience with programming. You can anticipate interactive, hands-on activities and practices to ensure that you have a good grasp of the concepts covered. If you're ready to start your journey to use R for data science, let's get started!"
7, Getting Started with Data in R,"In this module, you will learn how to use dplyr (a package in the core Tidyverse) to clean, organize and prepare your data with only a few lines of code. You will explore the basic grammar of data manipulation through dplyr, including the use of pipe operators and a consistent set of verbs that help you solve the most common data manipulation challenges.
This introductory module is designed for learners who are new to data analysis with R, and have little to no prior experience with programming. You can anticipate interactive, hands-on activities and practices to ensure that you have a good grasp of the concepts covered. If you're ready to start your journey to use dplyr for data visualization in R, let's get started!"
8, Visualizing Data in R,"In this module, you will learn how to use ggplot2 (a package in the core Tidyverse) to create high quality data visualizations with only a few lines of code. You will explore the basic structure of a ggplot, including the use of the ggplot() function, aesthetics such as x and y variables, and geoms to display the data.
This introductory module is designed for learners who are new to data analysis with R, and have little to no prior experience with programming. You can anticipate interactive, hands-on activities and practices to ensure that you have a good grasp of the concepts covered. If you're ready to start your journey to use ggplot for data visualization in R, let's get started!"
8, Make Laser Cut Color Mapped Co-Lab Coasters,"Want to show your love for the Co-Lab in your space? Make Co-Lab coasters! 
This lesson will teach you how to make six different coasters, giving you six templates to choose from and walking you step by step from opening the file to cutting on the laser cutter. At the end of this lesson, you will have a shiny, new coaster (or six)!"
8, Presenting your Data in R,"R Markdown is a powerful tool for creating dynamic, reproducible reports that can be customized with different inputs. In this module, you will learn how to use parameters to make your reports more flexible and easily customizable. You will start by learning the basics of R Markdown, including how to create a simple report and customize its appearance. Then, you will learn how to add parameters to your report, which will allow you to customize various aspects of your report, such as input data, plot types, and formatting options. Finally, you will learn how to create and share your reports with others using various publishing options."
8, Getting Started with Open Design,"What is design? How is it a deeply human endeavor? How can we design better products, services, and experiences in our communities? If you’re interested in helping create a more equitable and accessible world, this Center for Computational Thinking module on Open Design is for you. 
In this introductory module to Open Design, you’ll learn how you can center equity in your design processes. You’ll learn how the iterative four mindsets of Open Design — understand, create, evaluate, and share — will guide you to meaningfully impact your community. The principles at the heart of Open Design — active inclusivity, transparency, and collaboration — are applicable to work in all fields, providing you with a reflective framework as you make important decisions. 
This module provides the background on Open Design and its relationship to similar methodologies. After completing this introductory module, you should have the knowledge necessary to explain Open Design to others — and continue your Open Design journey with other learning opportunities."
8, Introduction to Cloud Computing ,"Cloud computing is one of those buzzwords that's been around for a while. But what exactly is it? How do you get started working on it? In this short module, we will teach you the basics and put you on the path toward understanding cloud computing. 
 
This course was created in partnership with Code+. "
9, Python Building Blocks- The Basics,Want to get started with Python but not really sure where to begin? This course will walk you through some of the basics and allow you to practice your newly learned skills as you go.
9, Introduction to Computational Reproducibility,"Welcome to Introduction to Computational Reproducibility!
Computational reproducibility provides clear methods and access to materials so that others can verify the validity of research results. This includes preparing the data; analyzing and visualizing it; using coding and versioning tools; and publishing and archiving data and code for others to access. Computational reproducibility is crucial in research because it ensures that others can independently confirm scientific experiments’ findings and conclusions."
9, Collaboration and Coding Tools for Reproducibility,"Welcome to Collaboration and Coding Tools for Reproducibility!
Collaboration with coding tools comprises basic skills for scientists. Coding tool collaboration helps researchers analyze their data, work together efficiently, and ensure others can reproduce or replicate their work. Tools and techniques mentioned in this module are essential because they promote transparency and allow scientists to improve their work based on feedback from others. These tools and techniques also help document and share important information, making learning and building upon each other's work easier for everyone."
9, Putting Reproducibility into Practice,"Making research reproducible means following specific methods and using tools to ensure other people can easily replicate and verify the research. This involves keeping things organized and well-documented — like the code, data, and materials used in the research —and developing cohesive workflows to track changes, automate processes via script or code, and allow collaboration among researchers. To make research data easily accessible through archival repositories, it should be published and stored for others to find and reproduce. By sharing the research through trusted online platforms, the data becomes readily available for a long time; is assigned unique identifiers (DOIs); encourages citation and reuse; and demonstrates FAIR principles (Findable, Accessible, Interoperable, and Reusable)"
9, Design & Laser Cut Jewelry with Rhino,"Dive in Rhino (a 3D modeling program) to create jewelry designs ready to be cut by a laser cutter.
You do not need to have experience with Rhino itself, but experience with at least one modeling software (Rhino, OnShape, Fusion360, TinkerCAD, etc..) is recommended in order to follow this course comfortably.
 "
10, UX Research: Discovery,"This class meets once a week (same day same time) for 2 weeks! You can sign up for 1 or both classes, but please note that the second class (September 22, 2023) builds upon the knowledge you will learn in the first class (September 15, 2023).
 
This series provides a high-level overview of user experience research methods typically used in the discovery phase of a project, product, or service. Discovery research helps you learn what problems to solve and which design directions to take. You will work on fun activities in small groups focusing on interviewing, analyzing interview transcripts, and prioritizing themes you find in the interviews."
10, Designing for Users: Overview of UX/UI,"User Experience strategies can improve any product by promoting a user-centered design mentality - ensuring what is delivered will best benefit the end-user. This class is an overview of both User Experience and User Interface Design and outlines how both are core steps to producing excellent digital products. This class will introduce different steps and aspects of designing websites and apps incorporating good UX/UI.
This is an introductory class. No experience in design or software needed."
10, Make Your Own Silicone Mold,"Take a positive 3D modeled shape to create a negative silicone mold which you can then use for future projects, including soap making or other casting applications."
10, Flask Fundamentals,Flask is a lightweight framework that we use in order to create lightweight python web applicatons. This course will teach you how to get up and running with a basic flask app.
10, First Steps Into Graphic Design: Intro to InDesign,"If you've never seen Adobe InDesign and want to get more familiar with the tools before taking another Roots workshop about creating with InDesign, this is the course for you! We will go over the purpose of InDesign and the tools most often used. By the end of this class, you will be able to place shapes, text, and images in InDesign and know where to find answers to questions you may have as you continue to learn InDesign.
This is an introductory class and is aimed at students who do not know InDesign at all or haven't opened the program in a long time."
11, Make Your Own Soap,"Soap... We all use it. Soap is the most important invention in human history but do you know where it comes from or how it’s made? Join us in this fun arts and crafts class where we learn how to make sudsy bars of usefulness. We’ll also learn how modern tools like 3D printing and online chemistry calculators can improve on this age-old process. This is a get-your-hands-dirty...err clean...class! Participants will have their very own bars at the end of the two sessions workshop. We will provide 1 soap making kit per pair of students, all the gear to get you started and a few varieties of fragrances and dyes. If you would like a specific scent for your soap, feel free to bring your own essential oils."
11, The Visual Design Process,This workshop will introduce you to one approach to visual design. Join UI designer Jen Hubbard as she walks you through the steps she takes in completing visual design projects here at Duke.
11, SQL – Beyond the Basics (1/3),"This course will provide an introduction to intermediate SQL concepts, including data manipulation with built-in arithmetic and date functions, set operations, and nested queries. The skills gained in this course will allow users to answer a variety of questions about their data.
 "
11, Make a Monster,Want to make your own Duke themed plushie?! Come to this workshop to develop your sewing skills (hand and machine) and create a terrifyingly adorable monster. We will also provide you with some LEDs for some extra fun!
11, Intro to Docker,"This course is designed to give you a foundation to begin working with the Docker containerization platform. By the end of the course, you will have a fundamental understanding of how to create Docker containers, how they function, and the main reasons to use containerization in your application development process."
12, Implementing Deep Learning Models in Tensorflow,"In this workshop we will learn how to use the popular deep learning library, Tensorflow, to build and train a simple neural network for image classification. This is a zero-entry workshop that assumes no previous experience with Tensorflow."
12, Logo Design with Illustrator,"All businesses need a logo! In this class, we will go over the different types of logos out there and discuss tips and tricks on what to do and what not to do. We will then create a logo together based on the different brand guides created in a previous workshop, using paper and pencil before moving on to Illustrator. This class assumes that you have opened Illustrator before and know where most tools are located in the interface."
12, How to Program with Ruby (combined)," 
This class is a combined version of How to Program with Ruby (1/2) and How to Program with Ruby (2/2).
Ruby is a modern object oriented programming language used in many tech stacks in the industry. Created by Yukihiro Matsumoto in 1995; Ruby has evolved into a widely adopted for its readability and ease of use to those learning a programming language. This class will touch on several fundamental concepts of Ruby programming.
This class will be hosted via Zoom. You will receive an email with the Zoom link a day before the class. Attendance will be taken and the session will be recorded.
 "
12, Intro to mySQL,"Take this class to learn more about databases. This course will provide students with a basic introduction to the popular open source Database Management System (DBMS) named “MySQL”.
 
 

 
InstructorMary Clair Thompson | Office of Information TechnologyI am a Data Engineer and Data Scientist on OIT’s Data Analytics team, with previous industry experience working with big data in the cloud.
This class will be hosted via Zoom. You will receive an email with the Zoom link a day before the class. Attendance will be taken and the session will be recorded.
 "
12, Advanced Sewable Circuits," 
Fashion meets tech. Sewable circuits are simple circuits that bring clothing and accessories to life. We'll show you how to create a simple circuit and program them using a Lilypad micro-controller. Bring an article of clothing/accessory to couple with interactive interactive LED's.
 "
13, Intro to Databases & MySQL,"Come to this course to learn about databases and their importance across a multitude of fields. This class will provide students with a basic introduction to what databases are and how to interact with them, before diving into a basic introduction to the popular open source Database Management System (DBMS) named “MySQL”.
 

 "
13, Introduction to Toolpathing in Fusion360,"Introduction to Toolpathing in Fusion 360 continues down the path of feature exploration where students can expect to learn more about features of the tool for machining on popular CNC devices like the CoLab’s Tormach and ShopBot mills.  Often computer aided manufacturing (CAM) software tools are standalone products, Fusion 360 integrates those functions in to a simple-to-use interface. For those who already have CAD experience, Introduction to Toolpathing in Fusion 360 does not require prior completion of our Roots CAD classes. The instructor will demystify the world of computer aided manufacturing by leading the class through three examples of water jet cutting, CNC routing and CNC milling with CAD models provided.
 "
13, Intro to APIs?,"API is one of those terms we hear thrown around in the tech world a lot, but what are they? APIs are how our applications talk and interact with one another. In this workshop we will learn the basics of using a REST API over the web.
 
 "
13, Using InDesign for your Graphic Projects: Document Layout,"After taking an introductory course in InDesign, you may want to practice your skills. In this course, you will use InDesign and grids to create a quality project you can use for your organizations."
13, Intro to R,"Are you interested in data visualization and data analysis? Do you have large datasets but need a tool to help you clean up the data? You should learn R with RStudio! In this workshop, we will cover basic setup, concepts, syntax and conditionals in R, an open source programming language for statistical computing. We'll go through a series of exercises step by step. This is an intro-level workshop, so no coding background needed. See you in class!
 
Slides: link "
14, Creating WebXR Experiences with Babylon.js,"There are many tools we can use to create VR experiences. In this workshop we will talk about VR experiences that are served out as webpages, hence WebVR or WebXR. While slightly less performant that native apps, the advantages of WebXR include easy onboarding and app distribution: we just send someone a link, no need to get on an approved app store! Another benefit is that non-VR users can easily explore our virtual worlds on their computers. In this workshop we will start with learning how to use the Co-Lab's VR headsets and then build up to creating and experiencing a simple virtual world."
14," SQL – Grouping, Joins, and Aggregations (2/3)","This course will provide an introduction to a few advanced sql concepts, including grouping and aggregations. Users will also learn the differences between the various types of joins.
 "
14, Intro to JavaScript,"What is Javascript? Is it related to Java? What is vanillaJS? Is it hard to learn? I know you have many questions, and this workshop is here to help you bust these myths. Javascript is a front-end development language. It can help you build a website and make it interactive much simpler than plain HTML. This is part one of the JS courses. We'll focus on the basic JS Syntax, how to declare a variable, how to create a function in this course. Let's get started!
 
Repo: link
Slides: link
Edstem: link1, link2"
14, Make Your Own Furniture Using CNC,"This class meets once a week (same day same time) for 4 weeks! When signing up, you are signing up for all 4 sessions.
Come make your own furniture using the shoptbot and other woodworking tools and techniques."
14, Create a Website: Interactivity with Javascript," 
Take your own website, and bring it to life! In this workshop, we'll take the website you've been working on throughout the 'Create a Website' courses, and add dynamic features like sorting, hiding/showing displays, and image manipulation to turn your static pages into living documents. If you have missed a class or two, don't worry - we'll provide a sample page for you to get up and running in this workshop, so feel free to sign up even if you haven't been to any of the other classes!"
15, Introduction to Unity,"Unity is game engine popular for making indie games (Kerbal space program), mobile/phone apps (Pokemon Go), and Virtual Reality games (Beat Saber). In this introduction we will learn about the interface of the Unity editor, add some objects into our world, and finally build out to a standalone desktop app."
15, Advanced CSS: Get to know Grid and Shape,"If you've done some CSS before, you know how much of a pain it is to place things just so... You've tried all the tricks, you've done all the math, and yet you can never get your layout exactly the way you were envisioning on paper... or you could but you had to try a million combinations or write what felt like a million lines of code. You are a wizard and CSS is magic... let Grid become your wand of supple wood with a phoenix core, and harness that power! Grid allows you to place things horizontally, vertically anywhere and everywhere, however you like, whenever you like. Want to move your footer in the middle of the page when your screen is between 800px and 1200px wide without using javascript ? You can! Want to have everything divided into 12 exact columns without worrying about margins and paddings and making mad calculations? You can! Want a grid within a grid within a grid? You can! This class is for made for the CSS enthusiast, or the downright frustrated CSS user who just would like to kill floats with fire. Intermediate understanding of CSS is expected to follow this class comfortably. If you do not know CSS, or haven't worked with it in a while, we suggest taking our Create a Website: Styling and Create a Website: Layout classes beforehand.
CSS Shapes is a more recent addition to the CSS family. This cluster of CSS rules will allow you to have greater control over the way text display next to an image. Come to this workshop to learn how to make it follow a curve or create new shapes to build dynamic compositions on the web. A good understanding of CSS is recommended for this class. If that does not sound like you, try and take Create a Website: Styling and Create a Website: Layouts before this one."
15, Write Your First Python Script,"The natural continuation of our Python Basics class, come join us as we write a basic functioning script using python.
In order to follow this class comfortably, we recommend you have basic experience with at least one programming language (python or other)."
15, Create a Website: Styling (Intro to CSS),"So you have created an HTML file, and it holds all your content, but it's lacking inspiration. It is time to add color to your world! In this second class in our Create a Website series, we are introducing a new language: CSS. CSS is the styling language for the web and it can make ""most"" of our web styling related dreams come true! With that said, CSS is a vast language with loads of possibilities and just like with everything, we must start small to one day go big. This class is geared towards CSS beginners, who have done some HTML work in the past. If you have never touched HTML before, we recommend you first take the Create a Website: Structure class to get all caught up. In this class, you will learn the basics of CSS, the styling language of the web. We will explore CSS usage, its syntax and best practices when it comes to CSS file setups. We will also look into key features of CSS such as the cascading model, and the specificity model. Finally we will put all that into practice by styling a simple web page using Codepen.io"
15, CSS Deep Dive: CSS Animations,"Disclaimer: this is not a CSS beginner class. You need to know HTML and CSS (functionality and syntax) to take this class.  Want to have super cool animated effects on your web pages without having to use JavaScript, gifs or videos? Well, look no further than this class, where you will get an introduction to the different types of CSS animations you can use. This class will cover the bases of animating for the web, including best practices, types of animations and syntax. We will then dive into ""Transforms"" and create a few simple animations. If time allows, we will create a more complex animation using what we have just learned at the end of the class."
16, Create a Website: CSS Layouts,"You are getting the hang of those basic CSS rules, and even though your site is starting to look good, you feel like you could do more. If this is you, then this class is for you. We will not be diving into completely uncharted territory, but we will build upon what was done in the Create a Website: Styling workshop. In this class, we will talk about why responsiveness is the way to design any site. We will look into the different markers that make up a responsive site, before diving into the different ways to change a layout (displays, floats, flexbox, grid). Finally we will work on a couple of exercises to get comfortable with the new concepts taught in the class. This class assumes that you have some basic knowledge of HTML and CSS."
16, SQL – Temporary Tables and Windows (3/3),"This course will show students how to create and use temporary tables when constructing queries, and provide an introduction to the concept of windowing. Students will also learn how to apply bounds to their windows for advanced data analysis."
16, Intro to React,"If you have experience in HTML, CSS and Javascript, and you want to learn a framework to make it easier to organize website structure, you're at the right place. React is a free and open source Javascript library that helps you build user interface. It is maintained by Facebook and the web dev community.
Instructor:Anni Yan | Innovation Co-Lab Developer & InstructorAnni is a recent grad from Duke University, and she is working at the Co-Lab now. She is passionate about data visualization, game designs and web development. Outside of work, Anni loves to hangout with Yuki (her cat), bake and play games."
16, Intro to Arduino,Introduction to Arduino is a beginner-level class that will introduce participants to the exciting world of physical computing. Participants will learn about how to use microcontrollers in a hands-on workshop. We'll work from examples in the Arduino library to make an interactive LED and music project. No prior experience necessary. 
16, Intro to Python,"Welcome to the Intro to Python class -- this is a class intended for people with little to no programming experience who want to learn introductory programming. We will be working in class on basic programming concepts such as variables, input, output, strings, loops, and more -- if you've never programmed before and want to learn some basics, this is the class for you!
 "
