id,duid,affiliation
243,1098150,student@duke.edu
244,1105363,student@duke.edu
245,0939237,student@duke.edu
246,1021597,staff@duke.edu
247,1236880,staff@duke.edu
248,1099216,staff@duke.edu
249,1083460,student@duke.edu
250,1023714,student@duke.edu
251,0936730,staff@duke.edu
252,1024171,staff@duke.edu
253,0678729,student@duke.edu
254,1182027,student@duke.edu
255,0932991,student@duke.edu
256,1250997,staff@duke.edu
257,0936731,student@duke.edu
258,1241452,student@duke.edu
259,1181400,student@duke.edu
260,1161798,staff@duke.edu
261,0994684,student@duke.edu
262,0538018,alumni@duke.edu
263,0830839,student@duke.edu
264,0967587,student@duke.edu
265,1023260,student@duke.edu
266,1105764,staff@duke.edu
267,0331874,staff@duke.edu
268,0909030,affiliate@duke.edu
269,0604346,staff@duke.edu
270,1255427,staff@duke.edu
271,1168156,student@duke.edu
272,1163248,staff@duke.edu
273,1238587,staff@duke.edu
274,1201927,student@duke.edu
275,1070515,student@duke.edu
276,1236037,staff@duke.edu
277,1111591,student@duke.edu
278,1043454,staff@duke.edu
279,1104004,alumni@duke.edu
280,0933969,staff@duke.edu
281,1197375,staff@duke.edu
282,0936674,staff@duke.edu
283,0752974,student@duke.edu
284,1001313,student@duke.edu
285,1124281,staff@duke.edu
286,0970641,staff@duke.edu
287,1246951,affiliate@duke.edu
288,1191197,student@duke.edu
289,1253066,staff@duke.edu
290,1217051,staff@duke.edu
291,0822851,student@duke.edu
292,1232650,student@duke.edu
293,0750676,alumni@duke.edu
294,1097877,student@duke.edu
295,1197370,student@duke.edu
296,0468406,staff@duke.edu
297,0905686,alumni@duke.edu
298,1183913,staff@duke.edu
299,1233755,student@duke.edu
300,1128639,student@duke.edu
301,1018424,staff@duke.edu
302,1021586,student@duke.edu
303,1199756,staff@duke.edu
304,0933732,student@duke.edu
305,0688896,staff@duke.edu
306,1040165,student@duke.edu
307,1096550,student@duke.edu
308,1019107,student@duke.edu
309,1196379,student@duke.edu
310,0950133,affiliate@duke.edu
311,1174480,staff@duke.edu
312,0975667,staff@duke.edu
313,1197383,student@duke.edu
314,1052825,affiliate@duke.edu
315,1183844,student@duke.edu
316,1075370,staff@duke.edu
317,1191181,student@duke.edu
318,1233824,student@duke.edu
319,1180434,student@duke.edu
320,1104275,alumni@duke.edu
321,1200332,student@duke.edu
322,0417139,staff@duke.edu
323,0264464,alumni@duke.edu
324,1045764,staff@duke.edu
325,0949521,staff@duke.edu
326,1229061,staff@duke.edu
327,1220862,student@duke.edu
328,1040125,student@duke.edu
329,1017428,student@duke.edu
330,1178157,student@duke.edu
331,1039749,staff@duke.edu
332,0980072,student@duke.edu
333,1064268,staff@duke.edu
334,1191887,student@duke.edu
335,1194218,student@duke.edu
336,1201797,student@duke.edu
337,1201987,student@duke.edu
338,0940937,faculty@duke.edu
339,1254938,staff@duke.edu
340,1201456,staff@duke.edu
341,1232249,staff@duke.edu
342,1236123,student@duke.edu
343,1196902,student@duke.edu
344,1188783,staff@duke.edu
345,0655519,staff@duke.edu
346,0863466,staff@duke.edu
347,1063553,student@duke.edu
348,1089075,staff@duke.edu
349,1072663,staff@duke.edu
350,0828050,alumni@duke.edu
351,1023314,staff@duke.edu
352,1243276,staff@duke.edu
353,0911711,staff@duke.edu
354,0305364,student@duke.edu
355,1011329,student@duke.edu
356,1251656,staff@duke.edu
357,1235373,student@duke.edu
358,1227605,student@duke.edu
359,0490012,student@duke.edu
360,1236020,staff@duke.edu
361,0968268,staff@duke.edu
362,1094148,staff@duke.edu
363,1182407,student@duke.edu
364,1230828,student@duke.edu
365,1114362,student@duke.edu
366,1110801,student@duke.edu
367,1233717,student@duke.edu
368,1015279,student@duke.edu
369,0968978,staff@duke.edu
370,0332044,staff@duke.edu
371,1234680,student@duke.edu
372,1188100,staff@duke.edu
373,0687724,staff@duke.edu
374,1021631,staff@duke.edu
375,1021523,student@duke.edu
376,1242512,staff@duke.edu
377,0299786,staff@duke.edu
378,1034486,staff@duke.edu
379,1118737,student@duke.edu
380,1175685,staff@duke.edu
381,1201815,student@duke.edu
382,1069485,student@duke.edu
383,0828712,staff@duke.edu
384,0966051,student@duke.edu
385,0967239,student@duke.edu
386,1199029,student@duke.edu
387,1233678,student@duke.edu
388,1023731,staff@duke.edu
389,1096042,student@duke.edu
390,0927568,staff@duke.edu
391,1078042,student@duke.edu
392,1234581,student@duke.edu
393,1262382,affiliate@duke.edu
394,0936767,staff@duke.edu
395,1186295,student@duke.edu
396,1243914,faculty@duke.edu
397,0819710,student@duke.edu
398,1058245,student@duke.edu
399,1200331,student@duke.edu
400,0652983,student@duke.edu
401,0711891,staff@duke.edu
402,0844997,student@duke.edu
403,1201857,student@duke.edu
404,0876671,affiliate@duke.edu
405,1160167,staff@duke.edu
406,0914349,staff@duke.edu
407,1053652,staff@duke.edu
408,1069007,staff@duke.edu
409,0777233,staff@duke.edu
410,1233997,student@duke.edu
411,1022420,staff@duke.edu
412,1052807,staff@duke.edu
413,1251016,staff@duke.edu
414,1119806,staff@duke.edu
415,1079198,student@duke.edu
416,1232673,student@duke.edu
417,1039911,student@duke.edu
418,1011211,student@duke.edu
419,1168348,student@duke.edu
420,0334703,staff@duke.edu
421,0931331,student@duke.edu
422,0965034,staff@duke.edu
423,0955667,staff@duke.edu
424,1122627,staff@duke.edu
425,0824825,staff@duke.edu
426,1170095,staff@duke.edu
427,1077831,student@duke.edu
428,1098883,affiliate@duke.edu
429,1182794,staff@duke.edu
430,0933948,student@duke.edu
431,0940049,student@duke.edu
432,1099371,staff@duke.edu
433,0672314,staff@duke.edu
434,0933970,staff@duke.edu
435,0604778,staff@duke.edu
436,1234590,staff@duke.edu
437,1048302,staff@duke.edu
438,1062943,staff@duke.edu
439,0741479,alumni@duke.edu
440,1118282,staff@duke.edu
441,0860070,staff@duke.edu
442,0875261,staff@duke.edu
443,1171208,staff@duke.edu
444,1021485,staff@duke.edu
445,1124148,staff@duke.edu
446,0966975,staff@duke.edu
447,0610629,staff@duke.edu
448,1176030,student@duke.edu
449,0936265,student@duke.edu
450,0943462,student@duke.edu
451,1258869,staff@duke.edu
452,1251242,staff@duke.edu
453,1237243,staff@duke.edu
454,0980245,staff@duke.edu
455,0864693,student@duke.edu
456,0396508,staff@duke.edu
457,0794108,staff@duke.edu
458,0499387,faculty@duke.edu
459,0085552,faculty@duke.edu
460,1236153,staff@duke.edu
461,1229527,student@duke.edu
462,1097963,student@duke.edu
463,1097555,student@duke.edu
464,0702239,affiliate@duke.edu
465,1200082,staff@duke.edu
466,0869374,student@duke.edu
467,1119519,staff@duke.edu
468,0641822,alumni@duke.edu
469,1060563,faculty@duke.edu
470,1256372,affiliate@duke.edu
471,1249483,staff@duke.edu
472,1197393,student@duke.edu
473,1208077,student@duke.edu
474,1004386,student@duke.edu
475,1096089,staff@duke.edu
476,1013654,student@duke.edu
477,1197365,staff@duke.edu
478,0827418,student@duke.edu
479,1185526,staff@duke.edu
480,0780147,student@duke.edu
481,0598512,staff@duke.edu
482,1091878,student@duke.edu
483,1160780,staff@duke.edu
484,0966204,staff@duke.edu
485,0965763,student@duke.edu
486,1014752,staff@duke.edu
487,0909797,staff@duke.edu
488,1171408,student@duke.edu
489,0969233,staff@duke.edu
490,0802468,student@duke.edu
491,1019010,student@duke.edu
492,1023769,student@duke.edu
493,1079223,student@duke.edu
494,1195412,student@duke.edu
495,1184190,staff@duke.edu
496,0221839,staff@duke.edu
497,1215509,student@duke.edu
498,0556777,student@duke.edu
499,1080890,staff@duke.edu
500,1088574,student@duke.edu
501,1174339,student@duke.edu
502,1174075,staff@duke.edu
503,1021625,student@duke.edu
504,0107690,staff@duke.edu
505,1259293,affiliate@duke.edu
506,1201986,student@duke.edu
507,0969562,staff@duke.edu
508,1172983,staff@duke.edu
509,1119432,staff@duke.edu
510,0672194,staff@duke.edu
511,1079217,student@duke.edu
512,1183726,student@duke.edu
513,1232513,student@duke.edu
514,0949832,affiliate@duke.edu
515,1201847,student@duke.edu
516,1171559,student@duke.edu
517,1097533,staff@duke.edu
518,1041199,student@duke.edu
519,0498740,staff@duke.edu
520,0442997,staff@duke.edu
521,1179619,staff@duke.edu
522,0908391,student@duke.edu
523,1091956,staff@duke.edu
524,1190873,student@duke.edu
525,0936679,student@duke.edu
526,1099350,student@duke.edu
527,1162578,student@duke.edu
528,0962917,staff@duke.edu
529,1201928,student@duke.edu
530,0423599,staff@duke.edu
531,1055103,student@duke.edu
532,0939203,staff@duke.edu
533,0940510,staff@duke.edu
534,1120006,student@duke.edu
535,1182474,staff@duke.edu
536,1175361,staff@duke.edu
537,1035841,student@duke.edu
538,1035190,staff@duke.edu
539,1203765,student@duke.edu
540,1223143,staff@duke.edu
541,1178721,student@duke.edu
542,1232146,student@duke.edu
543,1024179,student@duke.edu
544,1212466,student@duke.edu
545,1218159,student@duke.edu
546,1060878,affiliate@duke.edu
547,1061029,affiliate@duke.edu
548,1199793,student@duke.edu
549,1113737,student@duke.edu
550,1119525,staff@duke.edu
551,1078676,student@duke.edu
552,1218340,student@duke.edu
553,0846508,student@duke.edu
554,1167083,student@duke.edu
555,1018035,staff@duke.edu
556,1176007,staff@duke.edu
557,1171414,staff@duke.edu
558,1115321,staff@duke.edu
559,0647193,student@duke.edu
560,0966752,student
561,0965074,student
562,1095409,student@duke.edu
563,0969525,student@duke.edu
564,1232287,student@duke.edu
565,0693847,faculty@duke.edu
566,1239003,staff@duke.edu
567,1237278,student@duke.edu
568,1096061,student@duke.edu
569,0745738,staff@duke.edu
570,0705821,staff@duke.edu
571,1064705,staff@duke.edu
572,1239389,staff@duke.edu
573,0935142,staff@duke.edu
574,1216613,staff@duke.edu
575,1220985,staff@duke.edu
576,1060308,student@duke.edu
577,1052817,staff@duke.edu
578,0909008,student@duke.edu
579,0967577,alumni@duke.edu
580,1208893,student@duke.edu
581,0960362,student@duke.edu
582,0720745,alumni@duke.edu
583,1209631,student@duke.edu
584,0967326,staff@duke.edu
585,1225461,student@duke.edu
586,1102561,student@duke.edu
587,1174837,student@duke.edu
588,1244178,student@duke.edu
589,1082059,student@duke.edu
590,1204233,student@duke.edu
591,1235650,student@duke.edu
592,1094236,staff@duke.edu
593,0849422,alumni@duke.edu
594,1042666,staff@duke.edu
595,1202951,staff@duke.edu
596,0830012,student@duke.edu
597,1209527,staff@duke.edu
598,0932996,student@duke.edu
599,1219368,student@duke.edu
600,1232981,student@duke.edu
601,1188575,staff@duke.edu
602,1241885,student@duke.edu
603,0742749,student@duke.edu
604,0528675,staff@duke.edu
605,0939642,staff@duke.edu
606,0965174,student
607,1041174,staff@duke.edu
608,1060850,affiliate@duke.edu
609,0966478,student@duke.edu
610,0036508,faculty@duke.edu
611,1179402,student@duke.edu
612,0937405,student
613,1044038,student@duke.edu
614,0742248,alumni@duke.edu
615,0739942,alumni@duke.edu
616,1085794,student@duke.edu
617,0642092,alumni@duke.edu
618,0862910,staff@duke.edu
619,0849541,staff@duke.edu
620,0962530,staff@duke.edu
621,0916824,alumni@duke.edu
622,1203585,student@duke.edu
623,0786727,student@duke.edu
624,1052847,student@duke.edu
625,1230169,student@duke.edu
626,1162112,student@duke.edu
627,1192776,student@duke.edu
628,1060999,affiliate@duke.edu
629,0940770,student@duke.edu
630,1193938,student@duke.edu
631,1188304,staff@duke.edu
632,1108037,student@duke.edu
633,1177513,student@duke.edu
634,0489555,staff@duke.edu
635,1162230,student@duke.edu
636,1237567,staff@duke.edu
637,1077654,staff@duke.edu
638,0917668,staff@duke.edu
639,0748757,staff@duke.edu
640,1111327,staff@duke.edu
641,1107887,staff@duke.edu
642,1054799,student@duke.edu
643,0418259,staff@duke.edu
644,0014309,faculty@duke.edu
645,0575466,staff@duke.edu
646,1181536,student@duke.edu
647,0758755,student@duke.edu
648,1182242,staff@duke.edu
649,0643250,alumni@duke.edu
650,1070638,affiliate@duke.edu
651,1255804,staff@duke.edu
652,0963157,student@duke.edu
653,0807897,staff@duke.edu
654,0300720,faculty@duke.edu
655,0297691,faculty
656,0751950,staff@duke.edu
657,0992203,student@duke.edu
658,1066400,student@duke.edu
659,0934675,student@duke.edu
660,1095406,student@duke.edu
661,0644998,alumni@duke.edu
662,1237583,student@duke.edu
663,1041830,student@duke.edu
664,0968218,alumni@duke.edu
665,0826524,student
666,1068719,staff@duke.edu
667,1036168,staff@duke.edu
668,0899618,alumni@duke.edu
669,1019033,student@duke.edu
670,0950673,student@duke.edu
671,1226301,student@duke.edu
672,1035187,student@duke.edu
673,1040218,staff@duke.edu
674,1227462,student@duke.edu
675,1196366,student@duke.edu
676,1231979,student@duke.edu
677,0967653,student@duke.edu
678,0934321,staff@duke.edu
679,1201871,staff@duke.edu
680,1199773,student@duke.edu
681,0964879,student@duke.edu
682,1200478,student@duke.edu
683,0632327,faculty@duke.edu
684,1168376,staff@duke.edu
685,1241431,student@duke.edu
686,1041503,student@duke.edu
687,1011214,student@duke.edu
688,1116343,student@duke.edu
689,1117252,affiliate@duke.edu
690,1115110,student@duke.edu
691,1117231,student@duke.edu
692,1209853,staff@duke.edu
693,0941230,student@duke.edu
694,1028852,staff@duke.edu
695,1208472,staff@duke.edu
696,1195521,staff@duke.edu
697,1029295,staff@duke.edu
698,0642623,student@duke.edu
699,0580371,staff@duke.edu
700,0933940,student@duke.edu
701,0486649,staff@duke.edu
702,0289145,staff@duke.edu
703,1090495,student@duke.edu
704,1196362,student@duke.edu
705,1231697,student@duke.edu
706,0843421,student@duke.edu
707,0579933,staff@duke.edu
708,1238869,staff@duke.edu
709,1041862,staff@duke.edu
710,1039777,student@duke.edu
711,1068507,student@duke.edu
712,1219612,staff@duke.edu
713,0341135,staff@duke.edu
714,1111585,staff@duke.edu
715,1095343,staff@duke.edu
716,1124267,student@duke.edu
717,1119613,staff@duke.edu
718,1117569,staff@duke.edu
719,1019083,student@duke.edu
720,0839461,staff@duke.edu
721,1214158,student@duke.edu
722,1200886,staff@duke.edu
723,1219075,student@duke.edu
724,1243644,staff@duke.edu
725,0942654,student@duke.edu
726,1254404,staff@duke.edu
727,0809447,staff@duke.edu
728,1068884,student@duke.edu
729,0966683,student@duke.edu
730,0967125,staff@duke.edu
731,1201720,student@duke.edu
732,0936706,staff@duke.edu
733,1227449,student@duke.edu
734,1049053,faculty@duke.edu
735,0966894,student@duke.edu
736,1099479,student@duke.edu
737,1211568,student@duke.edu
738,1095332,staff@duke.edu
739,1232627,student@duke.edu
740,1199744,student@duke.edu
741,1184767,staff@duke.edu
742,1237546,staff@duke.edu
743,1188959,student@duke.edu
744,0382220,faculty@duke.edu
745,1001502,affiliate@duke.edu
746,0019956,alumni@duke.edu
747,1101396,student@duke.edu
748,1075925,alumni@duke.edu
749,1305783,affiliate@duke.edu
750,0861372,student@duke.edu
751,1266292,affiliate@duke.edu
752,0937473,student@duke.edu
753,0968317,student@duke.edu
754,1011350,alumni@duke.edu
755,1182041,student@duke.edu
756,0705669,student@duke.edu
757,0960580,staff@duke.edu
758,0967803,staff@duke.edu
759,1198794,student@duke.edu
760,1188312,student@duke.edu
761,1205721,staff@duke.edu
762,1185970,student@duke.edu
763,1234135,student@duke.edu
764,0966176,student@duke.edu
765,1224706,student@duke.edu
766,1172629,student@duke.edu
767,0830271,alumni@duke.edu
768,1198799,student@duke.edu
769,1045555,staff@duke.edu
770,1118969,student@duke.edu
771,1231590,staff@duke.edu
772,1083072,student@duke.edu
773,1097484,student@duke.edu
774,0933427,staff@duke.edu
775,1021023,staff@duke.edu
776,0965419,staff@duke.edu
777,0828772,alumni@duke.edu
778,1018978,student@duke.edu
779,0601800,alumni@duke.edu
780,1084017,staff@duke.edu
781,0937382,student@duke.edu
782,0962416,student@duke.edu
783,1237686,student@duke.edu
784,0762427,student@duke.edu
785,1207111,student@duke.edu
786,1228962,student@duke.edu
787,1022223,alumni@duke.edu
788,1013850,student@duke.edu
789,1109127,student@duke.edu
790,0596918,staff@duke.edu
791,1036023,student@duke.edu
792,1016624,student@duke.edu
793,0962429,student@duke.edu
794,0949857,staff@duke.edu
795,0966609,staff@duke.edu
796,1122526,alumni@duke.edu
797,1165269,staff@duke.edu
798,1163662,staff@duke.edu
799,1041215,student@duke.edu
800,0902859,alumni@duke.edu
801,0965885,student@duke.edu
802,0873142,staff@duke.edu
803,1288707,staff@duke.edu
804,0721307,faculty@duke.edu
805,0512747,staff@duke.edu
806,1165264,student@duke.edu
807,1184551,affiliate@duke.edu
808,1199550,student@duke.edu
809,1228235,student@duke.edu
810,1211253,student@duke.edu
811,1181160,staff@duke.edu
812,1251940,staff@duke.edu
813,0909035,student@duke.edu
814,1172467,student@duke.edu
815,1293599,affiliate@duke.edu
816,1170176,staff@duke.edu
817,1212853,student@duke.edu
818,1174710,staff@duke.edu
819,1095576,staff@duke.edu
820,1019194,student@duke.edu
821,0922819,staff@duke.edu
822,1166944,student@duke.edu
823,1215316,student@duke.edu
824,0750064,staff@duke.edu
825,0221864,staff@duke.edu
826,1111625,student@duke.edu
827,1176127,staff@duke.edu
828,0637195,staff@duke.edu
829,1016851,student@duke.edu
830,1211868,staff@duke.edu
831,0244733,faculty@duke.edu
832,0970648,student
833,0727870,staff
834,0568713,staff@duke.edu
835,0694183,staff@duke.edu
836,0686231,staff@duke.edu
837,1169517,staff@duke.edu
838,1098760,staff@duke.edu
839,0916509,staff@duke.edu
840,0563625,faculty@duke.edu
841,0933965,staff@duke.edu
842,1188850,staff@duke.edu
843,0288610,staff@duke.edu
844,0646543,affiliate@duke.edu
845,1090766,student@duke.edu
846,0967865,student@duke.edu
847,0747483,staff@duke.edu
848,0970426,staff@duke.edu
849,0933960,student@duke.edu
850,0680262,staff@duke.edu
851,0966846,staff@duke.edu
852,0857543,student@duke.edu
853,1245011,staff@duke.edu
854,0380390,staff@duke.edu
855,1226325,student@duke.edu
856,1085918,student@duke.edu
857,1014036,student@duke.edu
858,1240479,staff@duke.edu
859,0753926,alumni@duke.edu
860,1099173,staff@duke.edu
861,0998669,student@duke.edu
862,0720339,student@duke.edu
863,1036069,student@duke.edu
864,1019070,student@duke.edu
865,1115000,student@duke.edu
866,1117167,student@duke.edu
867,0912319,student@duke.edu
868,1112271,student@duke.edu
869,0967887,student@duke.edu
870,0715935,alumni@duke.edu
871,1189654,staff@duke.edu
872,1039597,student@duke.edu
873,1210771,student@duke.edu
874,1187523,student@duke.edu
875,1111674,staff@duke.edu
876,1085206,student@duke.edu
877,0988818,staff@duke.edu
878,0948704,staff@duke.edu
879,1071905,staff@duke.edu
880,1112443,student@duke.edu
881,0967858,staff@duke.edu
882,1021028,student@duke.edu
883,1199390,staff@duke.edu
884,1211081,student@duke.edu
885,0939208,student@duke.edu
886,1091915,staff@duke.edu
887,1237670,student@duke.edu
888,1012654,staff@duke.edu
889,1022750,staff@duke.edu
890,0936724,staff@duke.edu
891,1109980,staff@duke.edu
892,1014063,staff@duke.edu
893,1073702,alumni@duke.edu
894,1237160,student@duke.edu
895,0588709,staff@duke.edu
896,1066392,staff@duke.edu
897,1232957,student@duke.edu
898,1226299,student@duke.edu
899,1211123,student@duke.edu
900,1162448,staff@duke.edu
901,1068646,student@duke.edu
902,1234050,student@duke.edu
903,0391498,faculty@duke.edu
904,0691433,staff@duke.edu
905,0649071,student@duke.edu
906,0712743,student@duke.edu
907,1062261,student@duke.edu
908,1091913,student@duke.edu
909,1181063,student@duke.edu
910,1118868,student@duke.edu
911,1192334,student@duke.edu
912,1077570,staff@duke.edu
913,0965371,staff@duke.edu
914,1078593,student@duke.edu
915,0204876,staff@duke.edu
916,0902361,staff@duke.edu
917,0219389,staff@duke.edu
918,0515504,staff@duke.edu
919,0114431,staff@duke.edu
920,0671479,alumni@duke.edu
921,0271963,staff@duke.edu
922,1178453,student@duke.edu
923,1095463,staff@duke.edu
924,0893274,staff@duke.edu
925,0646223,student@duke.edu
926,0390214,alumni@duke.edu
927,1064980,staff@duke.edu
928,0910375,student@duke.edu
929,0640482,student@duke.edu
930,0936075,staff@duke.edu
931,1057540,student@duke.edu
932,0935701,staff@duke.edu
933,0097856,staff@duke.edu
934,1185749,student@duke.edu
935,1206956,staff@duke.edu
936,1175485,staff@duke.edu
937,1095969,student@duke.edu
938,1001687,student@duke.edu
939,1097543,student@duke.edu
940,0909522,staff@duke.edu
941,1063460,staff@duke.edu
942,1163772,student@duke.edu
943,1118125,student@duke.edu
944,0841556,staff@duke.edu
945,0694549,staff@duke.edu
946,0966012,staff@duke.edu
947,0967041,student@duke.edu
948,1127104,student@duke.edu
949,1162272,staff@duke.edu
950,1106529,alumni@duke.edu
951,0933920,staff@duke.edu
952,0933006,staff@duke.edu
953,1215185,student@duke.edu
954,1221651,staff@duke.edu
955,0671167,staff@duke.edu
956,1186814,student@duke.edu
957,1203916,staff@duke.edu
958,0474809,student@duke.edu
