id,user_id,title,bio,created_at,updated_at
11,14,Instructor,"David earned a Master's degree from NC State University in Industrial Design and started his career as a museum exhibit designer and fabricator and later worked as a CNC machine designer, and K-12 educator. When not managing Co-Lab studio operations he teaches CAD/CAM and furniture making. Outside of work David enjoys cycling, rock climbing, dogs, and home renovation projects. ",2022-08-12 17:13:11.142471,2023-09-07 14:47:21.898489
12,7,Instructor,"Sandra has a background in web design and development, some of it learned through traditional education, and the rest through self-teaching. She started at the Co-Lab full time in January 2019 and is now a front-end developer and instructor. She's the person you come to when your website needs some beautification. Outside of work, Sandra loves gardening, creating things (art, furniture, etc..) and playing board games.",2022-08-12 17:38:03.821540,2023-10-10 17:39:01.237866
13,15,Assistant Professor of Medicine,"I am interested in developing approaches to derive biological insight from multi-omics and biological ""big"" data. My areas of interest include aging, stem cell biology, and cancer. I also have a strong interest in teaching and developing novel curricula, and am an active member of Duke's +Data Science and Center for Computational Thinking. ",2022-08-12 17:50:08.381516,2022-12-28 15:51:21.816020
14,16,Academic Data Engineer,"Mary Clair Thompson completed a PhD in mathematics and worked in academia for several years before taking an industry position in data science. She worked in a variety of fields before finding her passion in data engineering. She has worked as a data engineer in the Office of Information Technology at Duke since 2019, and teaches all things data.",2022-08-12 19:35:55.432149,2022-08-15 19:18:36.589233
15,17,instructor,teaches singularity containers,2022-08-12 19:46:34.621832,2022-12-28 18:08:40.678879
16,18,instructor,"Jolie is an Information Architect + UX Designer on the Creative and User Experience team in Duke’s Office of Information Technology.  Her background includes a wide range of roles including instructional design and product management.  She loves making products and services better through user research and other user-centered design practices.  Jolie teaches UX research and information architecture classes for the Co-Lab.  In her free time, she can be found biking, running, reading, or watching the latest A24 film.",2022-08-12 19:47:00.323733,2023-09-20 16:53:08.048528
17,19,Instructor,"Kevin hails from Carnegie Mellon University where he spent his undergrad years learning how to make all sorts of things, be they big, small, physical, digital, or somewhere in-between. He brings his expertise in digital fabrication to the Co-Lab where he keeps things running and teaches others how to use the many available tools. When not in the lab, he's probably working on tabletop RPGs or planning out a new project! Kevin's favorite tools in the lab are the laser cutters and  the humble heat gun.",2022-08-12 19:59:55.619928,2023-11-06 19:35:28.074411
18,20,instructor,"Tobey Southworth received his undergraduate degree in Industrial Design from Wentworth Institute of Technology in Boston and has worked for such companies as Bose, Apple, and for the past 11 years, here at Duke. When not making things or maintaining the Co-Lab, Tobey enjoys playing games and spending time with his family (wife, 2 boys, and 2 rescue pups), outdoor activities, and gardening badly.",2022-08-12 20:00:16.561843,2023-10-23 14:08:08.824587
19,23,"Sr IT Analyst, Cybersecurity","Alexis Sparko works in cybersecurity and software development and has a somewhat unusual background in mathematics and architecture. She is interested in networks and graph theory, software reverse engineering, cryptography, and in someday acquiring a robot cat to wander around Duke's Co-Lab building.",2022-09-07 12:51:24.054269,2023-10-19 13:54:54.504684
20,619,Bluesmith & DesignHub Manager,"Joanna is a Duke '22 graduate from Pratt School of Engineering with a BS in Mechanical Engineering. She has extensive CAD and drafting experience from a variety of independent projects in rocket modeling, specialized tool modeling, and architecture drafting. Other skills include building programs in Python and C++, graphic design, and manufacturing. Outside of the Colab she enjoys traveling, stargazing, flying planes, and rock climbing.",2022-12-14 16:46:10.179556,2022-12-28 17:08:45.240376
22,663,Co-Lab Staff,teaches Roots courses,2023-01-03 18:47:19.814144,2023-09-08 13:54:49.618325
23,664,Co-Lab Staff,Teaches Roots courses,2023-01-03 19:40:54.938190,2023-10-23 22:35:57.751458
24,665,Co-Lab staff,Teaches Roots courses,2023-01-03 19:42:25.327617,2023-01-03 19:50:00.027226
25,21,Co-Lab staff,Teaches Roots courses,2023-01-04 16:43:51.232423,2023-09-12 17:48:02.033790
26,668,Postdoc at Duke in Mechanical Engineering,"Outside of Alex's job, which consists in modeling geomaterials through numerical simulations, they are working on developing engineering and climate change education in the US. Alex's goal is to empower the next generation of students, particularly engineers, to address the urgency posed by climate change and become actors of the ecological transition, beyond business as usual.",2023-01-05 14:10:32.419637,2023-01-05 16:38:37.332982
27,369,Full Stack Developer,"Zhichen graduated from Duke University with a bachelor’s degree in computer science and a minor in cultural anthropology. He joined the Co-Lab part-time as a student after participating in the Code+ program and is excited to return full-time! Zhichen will work as a software developer. He will also teach some intro classes and you’ll spot him TA-ing on other classes too. He enjoys taking bike rides around Durham, learning to cook new recipes, and learning random facts from watching Youtube videos.",2023-08-16 18:17:24.820217,2023-08-16 18:37:11.237681
28,2445,Lecturing Fellow of English,"From Scholars@Duke:

I work in Early Modern English literature with particular focus on the prose and poetry of John Milton and on the political and nonconformist writings of the English Civil Wars and Interregnum. My work focuses on forms of rationality, on ethics, and politics. I am particularly interested in the ethics of rational action.

I teach in the English Department and the Information Science + Studies program. I am interested in the theory and ethics of the use of large scale databases in humanistic research and pedagogy. My theoretical framework is informed by Ludwing Wittgenstein, Alasdair MacIntyre, and Michael Polanyi as well as by Daniel Kahneman’s account of decision making and reasoning processes.

I am the faculty coordinator for the Rhodes Fellowship in the Computational Humanities, supported by the Rhodes Information Initiative at Duke.

I help to organize the humanities projects at Data+.",2023-10-23 22:43:07.075795,2023-10-23 22:45:30.622482
29,2607,"Professor of Biostatistics & Bioinformatics, Chief Data Scientist for Duke Health, and Director of Duke AI Health","Michael J. Pencina, PhD, is Duke Health's chief data scientist and serves as vice dean for data science, director of Duke AI Health, and professor of biostatistics and bioinformatics at the Duke University School of Medicine. His work bridges the fields of data science, health care, and AI, and builds upon Duke’s national leadership in trustworthy AI.

Dr. Pencina partners with key leaders to develop data science strategies for Duke Health that span and connect academic research and clinical care. As vice dean for data science, he develops and implements quantitative science strategies to support the School of Medicine’s missions in education and training, laboratory and clinical science, and data science.

He co-founded and co-chairs Duke Health’s Algorithm-Based Clinical Decision Support (ABCDS) Oversight Committee and serves as co-director of Duke’s Collaborative to Advance Clinical Health Equity (CACHE). He spearheads Duke’s role as a founding partner of the Coalition for Health AI (CHAI) whose mission is to increase trustworthiness of AI by developing guidelines to drive high-quality health care through the adoption of credible, fair, and transparent health AI systems. 

Dr. Pencina is an internationally recognized authority in the evaluation of AI tools and algorithms. Guideline groups rely on his work to advance best practices for the application of algorithms in clinical medicine. He is actively involved in the design, conduct, and analysis of clinical studies with a focus on novel and efficient designs and applications of machine learning for medical decision support. He interacts frequently with investigators from academic and industry institutions as well as regulatory officials from the U.S. Food and Drug Administration.

Widely noted as an expert on risk prediction models, Dr. Pencina has authored or co-authored 400 peer-reviewed publications that have been cited over 111,000 times. Thomson Reuters/Clarivate Analytics has recognized him as a “highly cited researcher” in clinical medicine from 2014-2021 and social sciences from 2014-2022. He serves as deputy editor for statistics at JAMA-Cardiology and associate editor for Statistics in Medicine.

Dr. Pencina joined the Duke University faculty in 2013, and served as director of biostatistics for the Duke Clinical Research Institute until 2018. Previously, he was an associate professor in the Department of Biostatistics at Boston University and the Framingham Heart Study, and director of statistical consulting at the Harvard Clinical Research Institute. He received his PhD in Mathematics and Statistics from Boston University in 2003 and holds master’s degrees from the University of Warsaw in actuarial mathematics and business culture.",2023-11-14 17:28:37.473370,2023-11-14 17:33:31.733287
30,2560,Assistant Professor of Computer Science,"My research is broadly at the intersection of security, privacy, and human-computer interaction. My work has been published at flagship venues in security (IEEE S&P, SOUPS) and human-computer interaction and social sciences (CHI, CSCW) and covered by multiple outlets, including Wired and the Wall Street Journal. On the policy and advocacy front, I have been working closely with the National Institute of Standards and Technology (NIST), Consumer Reports, and the World Economic Forum to inform their efforts toward designing usable and informative security and privacy tools for consumers.",2023-11-14 17:40:08.862491,2023-11-14 17:41:44.131743
